Price_€,Review_Score,Review_Score_,Number_Of_Reviews,App_area_sqm,Dist_center_km
540,8.9,4,8.0,41.0,1.1
916,8.4,2,45.0,25.0,3.4
965,9.6,5,9.0,64.0,4.2
540,8.5,2,13.0,25.0,1.0
999,9.9,5,11.0,36.0,1.0
576,8.5,2,4.0,40.0,2.0
984,9.6,5,27.0,85.0,0.0
720,9.5,5,22.0,33.0,0.45
630,9.7,5,4.0,57.0,1.2
595,9.0,3,21.0,48.0,4.0
740,9.6,5,16.0,31.0,0.5
800,9.2,3,6.0,65.0,0.6
480,7.7,1,12.0,44.0,2.0
600,9.9,5,17.0,43.0,0.6
615,8.8,4,4.0,79.0,1.5
691,9.6,5,65.0,70.0,0.9
373,10.0,5,3.0,22.0,2.3
936,8.0,2,7.0,75.0,2.2
544,7.9,1,113.0,30.0,3.1
914,8.5,2,54.0,40.0,3.4
402,8.8,4,8.0,25.0,3.4
620,8.7,4,12.0,26.0,0.4
750,8.6,4,5.0,80.0,0.6
373,9.1,3,21.0,30.0,3.0
1500,8.5,2,8.0,70.0,1.7
960,8.2,2,4.0,75.0,3.6
1402,8.7,4,3.0,75.0,0.5
675,9.6,5,17.0,55.0,1.2
480,8.5,2,4.0,60.0,0.9
780,9.7,5,36.0,70.0,0.5
870,9.7,5,65.0,30.0,0.5
570,8.9,4,16.0,45.0,0.45
540,9.6,5,4.0,40.0,4.3
730,9.1,3,8.0,70.0,2.3
480,9.2,3,39.0,25.0,0.4
405,9.0,3,3.0,35.0,0.3
378,8.6,4,7.0,65.0,1.9
480,9.4,3,4.0,25.0,2.7
390,9.1,3,8.0,30.0,0.35
394,9.0,3,3.0,36.0,2.0
497,9.0,3,5.0,30.0,1.8
480,8.4,2,7.0,43.0,1.0
420,9.4,3,30.0,40.0,1.2
720,9.8,5,15.0,40.0,1.1
435,8.6,4,19.0,20.0,0.45
631,9.5,5,80.0,33.0,0.15
331,8.5,2,15.0,32.0,2.3
696,9.8,5,6.0,77.0,1.1
600,7.7,1,4.0,60.0,0.25
474,9.6,5,14.0,30.0,3.2
540,8.0,2,10.0,40.0,1.7
450,8.3,2,14.0,35.0,2.2
888,9.4,3,20.0,34.0,0.3
1325,9.2,3,4.0,90.0,1.8
800,9.3,3,6.0,75.0,0.05
485,9.2,3,21.0,29.0,3.1
660,9.5,5,31.0,75.0,2.0
575,8.7,4,7.0,44.0,1.5
720,8.8,4,11.0,80.0,0.4
930,9.8,5,28.0,58.0,1.2
446,9.5,5,19.0,40.0,1.5
600,8.2,2,102.0,22.0,1.5
540,9.3,3,8.0,26.0,0.9
435,7.8,1,18.0,20.0,0.15
585,9.0,3,13.0,35.0,1.8
994,10.0,5,3.0,90.0,1.7
587,8.2,2,5.0,33.0,1.7
630,9.7,5,31.0,36.0,2.0
529,9.4,3,5.0,45.0,1.5
610,9.8,5,36.0,36.0,0.5
570,9.4,3,12.0,40.0,1.1
1380,10.0,5,3.0,70.0,2.6
420,8.4,2,5.0,40.0,1.7
580,9.0,3,3.0,80.0,4.0
398,8.5,2,4.0,30.0,1.9
713,9.8,5,19.0,40.0,1.1
717,9.6,5,27.0,60.0,3.5
1044,9.6,5,7.0,32.0,0.9
780,9.7,5,54.0,36.0,0.4
900,8.9,4,41.0,34.0,4.0
540,9.2,3,9.0,22.0,0.5
810,9.6,5,7.0,36.0,2.9
570,9.4,3,39.0,28.0,1.1
1020,9.6,5,7.0,55.0,1.6
642,9.5,5,71.0,35.0,0.6
522,8.7,4,4.0,10.0,3.3
1040,9.9,5,16.0,45.0,0.45
675,9.6,5,5.0,32.0,0.7
573,8.6,4,3.0,32.0,3.1
823,8.4,2,4.0,45.0,1.2
720,7.6,1,8.0,40.0,0.1
603,8.0,2,36.0,20.0,0.45
855,9.4,3,16.0,28.0,0.15
663,8.3,2,19.0,45.0,0.4
610,8.5,2,5.0,68.0,1.2
631,9.3,3,57.0,24.0,0.2
